,title,org,desc,disabilities,homeless_housing,crisis_support,health_med,child_youth,arts_culture,edu_lit,women,advocacy,seniors,animals
0,Volunteer Mentor,ACCESS LIVING OF METROPOLITAN CHICAGO,We currently have a wonderful opportunity for those looking to volunteer and make an impact in a young persons life. We are looking for...,True,False,False,False,True,False,False,False,False,False,False
1,Volunteers Needed to Help Us Prepare for our Annual Jewelry Sale!,Blind Service Association,We are in need of volunteers to help us prepare hundreds of pieces of donated jewelry for our Annual Jewelry Sale which takes place the...,True,False,False,False,False,False,False,False,False,False,False
2,Front Desk Receptionist,Blind Service Association,"Blind Service Association is looking for someone to help with our front desk. You'll be greeting clients and volunteers, answering the...",True,False,False,False,False,False,False,False,False,True,False
3,Marketing & Community Outreach,Muscular Dystrophy Association (MDA),The Marketing and Community Outreach Volunteer will focus on re-engaging Lock-Up participants into one of MDA’s signature...,True,False,False,True,False,False,False,False,False,False,False
4,Reading and Recording for the Blind,Blind Service Association,Our volunteers read one on one to blind and visually impaired adults or they record requested reading materials that have not been...,True,False,False,False,False,False,True,False,False,True,False
5,Big Pack-Up Event at McCormick Place *Large/Small Volunteer Groups Needed*,"Sertoma Centre, Inc.","We're in need of 150 Volunteers for our annual Housewares Show Pack-Up at McCormick Place, on March 17th, 2020. Transportation provided...",True,False,False,False,False,False,False,False,True,False,False
6,Volunteer Child Care Worker,Little City,Little City's Foster Care and Adoption are looking for volunteer child care workers to help out while there is a Foster Parent training....,True,False,False,False,True,False,False,False,False,False,False
7,Outing Chaperone,Midwest Brain Injury Clubhouse,Traverse the city experiencing all that it has to offer 1-2 days a week. Make lifelong friends while chaperoning MBIC Members along side...,True,False,False,True,False,False,False,False,False,False,False
8,OT and PT students wanted!,Midwest Brain Injury Clubhouse,The Midwest Brain Injury Clubhouse is an organization located in the West Loop of Chicago that helps adults with Traumatic and Acquired...,True,False,False,False,False,False,False,False,False,False,False
9,Program Volunteer,Midwest Brain Injury Clubhouse,Therapeutic superstars with an interest in working with an under served disabled population wanted. Applications are being accepted now...,True,False,False,False,False,False,True,False,False,False,False
10,Volunteer Creative Writing Group Leader,Blind Service Association,Do you have experience in creative writing? Blind Service Association is looking for a volunteer to lead our creative writing group for...,True,False,False,False,False,False,True,False,False,False,False
11,AM/PM Greeter,Midwest Brain Injury Clubhouse,We are looking for individuals to assist our clientele with brain injuries in & out of the building from their transportation to...,True,False,False,True,False,False,False,False,True,False,False
12,Make a difference in someone's life: Consider VOLUNTEERING and have FUN while you're at...,Midwest Brain Injury Clubhouse,Love the city? Would you like to have some fun and make a difference all at the same time? Please join Midwest Brain Injury Clubhouse...,True,False,False,False,False,False,False,False,False,False,False
13,Thrift Store Assistant- Nearly New Store at Marillac St. Vincent Family Services,Marillac St. Vincent Family Services,The recently re-opened Marillac St Vincent Nearly New Thrift Store is looking a couple of STORE ASSISTANTS. We want responsible people as...,True,False,False,False,False,False,False,False,False,True,False
14,12 Bars of Charity,Best Buddies Illinois,"We are in need of volunteers to check-in attendees during event registration on Saturday, December 14th from 1-4pm. Location is TBD. For...",True,False,False,False,False,False,False,False,False,False,False
15,Project Onward Studio & Event Volunteers,Project Onward,"Project Onward supports the professional development of artists with exceptional talents and challenges, ranging from autism to mental...",True,False,False,False,False,True,False,False,False,False,False
16,Board of Directors,A.B.L.E. - Artists Breaking Limits & Expectations,"Artists Breaking Limits & Expectations (A.B.L.E.), a Chicago-based non-profit organization is seeking committed, diverse, and...",True,False,False,False,False,True,False,False,False,False,False
17,Special Olympics Illinois Young Professionals Development Board - Chicago,Special Olympics Illinois,Volunteers are welcomed to join the Young Professionals Board of Special Olympics Illinois. Volunteers meet approximately monthly for an...,True,False,False,False,True,False,False,False,False,False,False
18,Table at Taste of River North,Meals on Wheels Chicago,We will have a table at the Taste of River North at Kingbury and Erie and need your help! We want to bring awareness to River North of...,True,False,False,False,False,False,False,False,False,True,False
19,"Visit Elders with Dementia, Bring Joy and Friendship!",Little Brothers - Friends of the Elderly...,"Little Brothers - Friends of the Elderly's philosophy, programs and activities are focused on alleviating loneliness and isolation among...",True,False,False,False,False,False,False,False,False,True,False
20,Project Onward Part-Time Counselor/Therapist/Psychologist,Project Onward,"Project Onward is a gallery and studio that supports the professional development of artists with exceptional talents and challenges,...",True,False,False,True,False,False,False,False,False,False,False
21,Looking for volunteer Medical Staffing for Camp!,Camp One Step,"We are looking for medical volunteers for upcoming One Step Programs. We offer camps and programs for children whom are battling cancer,...",True,False,False,True,True,False,False,False,False,False,False
22,Help Send a Kid With Cancer to Camp!,Camp One Step,We are looking for volunteers that are interested in helping our mission of making sure that kids with cancer can have amazing...,True,False,False,True,True,False,False,False,False,False,False
23,Hot Cider Hustle Chicago 8K,Best Buddies Illinois,In need of 40 volunteers from 7am-11am on November 9th. Please see additional information below. Job Descriptions: Registration assistant...,True,False,False,False,False,False,False,False,False,False,False
24,Weaving Archive Project Volunteer,Friedman Place,"Archive completed projects by scanning and saving documents. Ideal volunteers will have familiarity with Windows OS, and be comfortable...",True,False,False,False,False,False,False,False,False,False,False
25,Marketing Internship,GLOBAL CANVAS INC,We Are Lions is a 501(c)3 nonprofit social enterprise dedicated to providing opportunities to individuals with disabilities through art...,True,False,False,False,False,True,False,False,False,False,False
26,Special Outings Assistant,Friedman Place,Responsibilities: Chaperone & socialize with residents Help with boarding and exiting the bus Escort residents to seats and restrooms...,True,False,False,False,False,False,False,False,False,True,False
27,Dietary Aid,Friedman Place,"Responsibilities: Help refill drinks, clean tables, and respond to resident dining needs Qualifications: Patience, good multi-tasking...",True,False,False,False,False,False,False,False,False,True,False
28,Connect with older adults through music! Volunteers needed to support Music and Memory...,Chicago Methodist Senior Services,Chicago Methodist Senior Services is looking for volunteers to engage with older adults diagnosed with dementia through our certified...,True,False,False,False,False,True,False,False,False,True,False
