title,org,desc
Judge Student Debaters. No Experience Needed!,Chicago Debates,"Academic Debate is life changing for the debaters, but you can benefit too! Why Judge Debate? Empower a young person Serve as a..."
"Drive a leg - Save a life! - Chicago, IL",Pilots to the Rescue,"Simply by using your vehicle you can save animals - Volunteer your time to transport animals along what is called a ""Rescue Relay..."
"Let me crash on your couch... please? - Chicago, IL",ARFS GERMAN SHEPHERD INC,Loaning an animal your couch can save their life! - Every 16 seconds an animal is euthanized simply due to overpopulation.Shelters do not...
"Do you have a computer and a phone?  You can save animals! - Chicago, IL",Flying Dog Rescue,"We need animal rescue transport coordinators to help organize rescue transports. So whether you are retired, not able to travel, or just..."
"Are you a pilot?  Then you can save animals! - Chicago, IL",Flying Dog Rescue,We need pilots to help coordinate animal rescue transport flights for other pilots that are transporting animals. So whether you are a...
"Punch holes in the sky & save animals! - Pilots Wanted! - Chicago, IL",Pilots to the Rescue,"Pilots to the Rescue is seeking active and inactive pilots to help save animals. Even if you lost your medical, are not able to be PIC,..."
Sustainable Climate Environment Advocate Chicago IL,Citizens' Climate Lobby,"Protect our environment and the special place in which we live! Citizens’ Climate Lobby (CCL) wants you! As a volunteer,..."
2020 Annual Gala Planning Committee - Volunteers Invited,The Network - Advocating Against Domestic...,"Each year, The Network - Advocating Against Domestic Violence (previously known as the Chicago Metropolitan Battered Women's Network)..."
Chicago National Office 2019 Volunteers,Muscular Dystrophy Association,"Be involved behind the scenes at MDA, working closely with dedicated MDA staff to advance the mission of driving innovations in science..."
Social Media Intern,AIDS Foundation of Chicago,The AIDS Foundation of Chicago (AFC) is seeking a creative and motivated individual to intern in its External Relations Department as a...
Getting to Zero Intern,AIDS Foundation of Chicago,The AIDS Foundation of Chicago (AFC) is seeking a creative and motivated individual to intern in its Policy and Advocacy Department and...
Chicago National Office 2019 Volunteer Leadership Committee,Muscular Dystrophy Association,"The Muscular Dystrophy Association has an exciting new volunteer opportunity for anyone in Chicago looking to lead, share ideas, build..."
Associate Board Member,Traffick Free,The Associate Board is a group of young professionals dedicated to using their talents to help Traffick Free achieve its long-term goals...
Event Planner / Fundraising Coordinator,Famous Fido Rescue & Adoption Alliance,Famous Fido Rescue needs an experienced volunteer Event Planner/coordinator to help plan and execute fundraising events. We are a...
Join KID's Young Professionals Board!,Kids In Danger,The KID Young Professionals Board consists of a group of young professionals emerging in their careers around the Chicagoland area. Our...
"Let me crash on your couch...please? - Chicago, IL",LAURAS HOPE RESCUE,Loaning an animal your couch can save their life! - Every 16 seconds an animal is euthanized simply due to overpopulation. Shelters do...
"Drive a leg, Save a life! - Chicago, IL",HEARTS ALIVE VILLAGE,"Simply by using your vehicle, you can save animals - Chicago - Volunteer your time to transport animals along what is called a..."
Communications Intern (Unpaid),The Network - Advocating Against Domestic...,Position Summary: The Communications Intern will assist in the tasks necessary to ensure The Network’s success in connecting with...
Drop-in Center Volunteer,Traffick Free,"Traffick Free runs a drop-in center for cis and trans-female persons who may be in need of our services which includes meals, clothing,..."
Help us raise $ for children's safety,Kids In Danger,The volunteer will work with KID's staff to assist with general development efforts which may include: helping with upcoming fundraising...
Development Internship,The Network - Advocating Against Domestic...,"Under the supervision of the Director of Development, the Development Intern will be gaining valuable professional experience in the..."
Volunteers Needed for to Assist Workshop Coordinators,UIC CENTER FOR LITERACY VOLUNTEER PROGRAM,"Volunteer needed in UIC's Center for Literacy's (CFL) Volunteer Resource Program (VRP) 1640 West Roosevelt Road, Chicago, IL 60608..."
"Support military members, veterans and their families: BE A CASEWORKER!",American Red Cross - Chicago and Northern...,As a Service to Armed Forces Hero Network Regional Family Follow up Caseworker you will support and assist with the full range of client...
Surviving Trauma discussion & art workshop,Chicago URBAN ART RETREAT Center,No experience needed. Facilitated discussion in gallery of art about surviving trauma followed by easy art experience re: surviving...
Sustainable Climate Environment Advocate Chicago IL,Citizens' Climate Lobby,"Protect our environment and the special place in which we live! Citizens’ Climate Lobby (CCL) wants you! As a volunteer,..."
Big Pack-Up Event at McCormick Place *Large/Small Volunteer Groups Needed*,"Sertoma Centre, Inc.","We're in need of 150 Volunteers for our annual Housewares Show Pack-Up at McCormick Place, on March 17th, 2020. Transportation provided..."
AM/PM Greeter,Midwest Brain Injury Clubhouse,We are looking for individuals to assist our clientele with brain injuries in & out of the building from their transportation to...
Be A Youth facilitator: The Service to Armed Forces Resiliency Team NEEDS you!,American Red Cross - Chicago and Northern...,"The youth facilitator will provide re-connection Workshop courses to military, veterans and their families in various community-based..."
Recognition and Appreciation Volunteer Lead,American Red Cross - Chicago and Northern...,The Service to Armed Forces / International Services team is seeking a Recognition and Appreciation Lead to oversee the development and...
