title,org,desc
"Drive a leg - Save a life! - Chicago, IL",Pilots to the Rescue,"Simply by using your vehicle you can save animals - Volunteer your time to transport animals along what is called a ""Rescue Relay..."
Do you work for the airlines? Then you can help save animals! - Chicago,Pilots to the Rescue,"Do you work for the airlines? Then you can help save animals! If you have flight privileges with an airline, current employee or retired,..."
"Let me crash on your couch... please? - Chicago, IL",ARFS GERMAN SHEPHERD INC,Loaning an animal your couch can save their life! - Every 16 seconds an animal is euthanized simply due to overpopulation.Shelters do not...
"Do you have a computer and a phone?  You can save animals! - Chicago, IL",Flying Dog Rescue,"We need animal rescue transport coordinators to help organize rescue transports. So whether you are retired, not able to travel, or just..."
"Are you a pilot?  Then you can save animals! - Chicago, IL",Flying Dog Rescue,We need pilots to help coordinate animal rescue transport flights for other pilots that are transporting animals. So whether you are a...
"Punch holes in the sky & save animals! - Pilots Wanted! - Chicago, IL",Pilots to the Rescue,"Pilots to the Rescue is seeking active and inactive pilots to help save animals. Even if you lost your medical, are not able to be PIC,..."
Volunteer Director,The Safe Haven Network,Purpose: The Volunteer Director is responsible for recruiting and managing volunteers. They will be responsible for allocating...
Community Outreach Director,The Safe Haven Network,Purpose: The Community Outreach Director is responsible for coordinating The Safe Haven Network’s community outreach and engagement...
Event Planner / Fundraising Coordinator,Famous Fido Rescue & Adoption Alliance,Famous Fido Rescue needs an experienced volunteer Event Planner/coordinator to help plan and execute fundraising events. We are a...
SHN Supply Drive Coordinator,The Safe Haven Network,The Safe Haven Network is looking for an experienced community organizer and event coordinator to manage our annual supply drive for...
Development Director,The Safe Haven Network,Purpose: Development Director Volunteer is responsible for spearheading The Safe Haven Network’s fundraising efforts. They will...
Referral Program Director,The Safe Haven Network,Purpose: The Safe Haven Network is a referral service that connects individuals escaping domestic violence to temporary emergency shelter...
"Let me crash on your couch...please? - Chicago, IL",LAURAS HOPE RESCUE,Loaning an animal your couch can save their life! - Every 16 seconds an animal is euthanized simply due to overpopulation. Shelters do...
"Drive a leg, Save a life! - Chicago, IL",HEARTS ALIVE VILLAGE,"Simply by using your vehicle, you can save animals - Chicago - Volunteer your time to transport animals along what is called a..."
Dog Team Volunteer - SitStayRead,SitStayRead,"This is a volunteer with their dog who volunteer in the classroom together as a team, having the students come and read with their dog..."
Book Buddy Volunteer - SitStayRead,SitStayRead,"Our Book Buddy volunteers work with small groups of students on reading and writing activities, as dictated in the SitStayRead..."
CRISP Team Lead,ALIVE Rescue,DESCRIPTION Chicagoland Rescue & Support Intervention Program (CRISP) is an initiative that pools resources of local rescues to work...
Attend a Shedd Volunteer Open House!,John G. Shedd Aquarium,"Shedd Aquarium needs YOU! We especially welcome Veterans, active duty military, and their families to attend this event and become a part..."
Paws for Patients-Volunteer with your Dog!!,"Unity Hospice of Chicagoland, Northwest...",Is Your Dog Itching to Make a Difference? Your certified pet can help hospice patients! Volunteering for Unity Hospice is very flexible!...
Foster Volunteer,Tree House Humane Society,"Fostering is a life saving experience for the cats and kittens Tree House assists, and a life changing experience for the volunteers who..."
Give Children the Greatest Gift,"Normal Moments, Inc.","When a child is in pain or feeling ill, you never hear them say ""I want to go to Disney World"". Rather, they say ""I WANT..."
