title,org,desc
"Lend your skills to Chicago's arts, cultural, and creative communities!",Arts & Business Council of Chicago,"Business Volunteers for the Arts (BVA) is the flagship program of the Arts & Business Council of Chicago, and offers a unique link..."
Inner City Youth Talent Show Staff,"All Stars Project, Inc.","The All Stars Project (ASP) is a nationally-recognized, independently funded non-profit that was founded 37 years ago. Our mission is to..."
Community Outreach Organizer,"All Stars Project, Inc.","The All Stars Project (ASP) is a nationally-recognized, independently funded non-profit that was founded 37 years ago. Our mission is to..."
Nonprofit Management Assistant,"All Stars Project, Inc.","The All Stars Project (ASP) is a nationally-recognized, independently funded non-profit that was founded 37 years ago. Our mission is to..."
Girl Scout STEAM Advisory Group,Girl Scouts of Greater Chicago and Northwest...,"Are you passionate about STEAM and connecting girls to Science, Technology, Engineering, Art, and Mathematics from an early age? Then..."
"Love + Light (Concert 2, Chicago)",Chicago Sinfonietta,"There are two opportunities for volunteers before the concerts and during intermission: Audience Engagement Support: BRIDGE (Bold,..."
Volunteer Office Decorator!,LUCKY PLUSH PRODUCTIONS,"MacArthur Award-winning Lucky Plush Productions is an internationally touring dance-theater company that provokes, inspires, and..."
US99 Country Cares St. Jude Radiothon,ALSAC/St. Jude Children's Research Hospital,US99 Country Cares Radiothon We need your help for the US99 Country Cares for St. Jude Kids Radiothon. With the help and support of our...
"BEDSIDE MAGIC - DOWNTOWN CHICAGO: LURIE'S, UNIV. OF CHICAGO COMER, & RUSH - Bring joy...",Open Heart Magic,Open Heart Magic (OHM) is a nonprofit organization that brings the joy of magic to sick kids in hospitals. As a volunteer Hospital...
Volunteer at the Chicago Architecture Biennial,Chicago Architecture Biennial,Chicago Architecture Biennial Overview The Chicago Architecture Biennial provides a platform for groundbreaking architectural projects...
Be a Pub Crawl Leader & Meet New People,Hostelling International Chicago,Do you enjoy meeting new people and hanging out and meeting many new people? HI Chicago Hostel is looking for volunteers to help lead...
Take Travelers to local Art,Hostelling International Chicago,Art lovers wanted! HI Chicago Hostel is looking for volunteers to help lead an outing to help travelers experience Chicago's excellent...
Volunteer at NAAAP-Chicago,NAAAP-Chicago,NAAAP-Chicago is looking for people who wish to use their functional expertise to foster leadership among Asian American professionals....
Music Teachers for Underprivileged Children,MUSICLINK FOUNDATION,"MusicLink is in need of experienced music teachers and related volunteers in Illinois. With MusicLink, students (children under 18 years..."
