title,org,desc
Volunteer Mentor,ACCESS LIVING OF METROPOLITAN CHICAGO,We currently have a wonderful opportunity for those looking to volunteer and make an impact in a young persons life. We are looking for...
"Join the ""Expert Connection""-Girl Scout Speaker's Bureau!",Girl Scouts of Greater Chicago and Northwest...,One of the best ways for girls to learn about new ideas is to hear it straight from someone who really knows their stuff! Would you...
Share your skills with girls in your community!,Girl Scouts of Greater Chicago and Northwest...,"Every week Girl Scouts participate in a wide variety of programs, events and activities offered by our council. These can vary on any..."
Nonprofit Management Assistant,"All Stars Project, Inc.","The All Stars Project (ASP) is a nationally-recognized, independently funded non-profit that was founded 37 years ago. Our mission is to..."
Inner City Youth Talent Show Staff,"All Stars Project, Inc.","The All Stars Project (ASP) is a nationally-recognized, independently funded non-profit that was founded 37 years ago. Our mission is to..."
Community Outreach Organizer,"All Stars Project, Inc.","The All Stars Project (ASP) is a nationally-recognized, independently funded non-profit that was founded 37 years ago. Our mission is to..."
Girl Scout STEAM Advisory Group,Girl Scouts of Greater Chicago and Northwest...,"Are you passionate about STEAM and connecting girls to Science, Technology, Engineering, Art, and Mathematics from an early age? Then..."
Judge Student Debaters. No Experience Needed!,Chicago Debates,"Academic Debate is life changing for the debaters, but you can benefit too! Why Judge Debate? Empower a young person Serve as a..."
Judge Student Debaters. No Experience Needed!,Chicago Debates,"Academic Debate is life changing for the debaters, but you can benefit too! Why Judge Debate? Empower a young person Serve as a..."
Holiday Card Help to Combat Childhood Hunger,"Blessings in a Backpack, Inc.",Most people can’t wait for the weekend. Kids at risk of hunger can’t wait for it to be over. There are more than 13 million...
Development School for Youth Support Staff,"All Stars Project, Inc.","The All Stars Project (ASP) is a nationally-recognized, independently funded non-profit that was founded 37 years ago. Our mission is to..."
Join WGIRLS Chicago!,WGIRLS INC,Are you interested in meeting a group of dynamic young women in Chicago? The WGIRLS Chicago Chapter is accepting new members! Come find...
2019 Grant Park Turkey Trot,Playworks Illinois,Volunteer at Grant Park's Turkey Trot 5k and Kids Dash and help us bring the power of play to Illinois! Your support will benefit the...
Begin a Shoes That Fit Volunteer Chapter in your Community- Help Chicago kids in need...,Shoes That Fit,"Many children in the Chicago area lack proper shoes for school. Their shoes are too small, too big, or so worn they have to stuff..."
Help us Defend Potential : Become a Big!,Big Brothers Big Sisters of Metropolitan Chicago,"Become a Big! Big Brothers Big Sisters is a one-to-one mentoring program for children 7-14. Each volunteer, or 'Big', is matched with a..."
Join the movement to create healthier schools - Join our Auxiliary Board!,Action For Healthy Kids,Action for Healthy Kids (AFHK) has started a new Auxiliary Board and is looking for a diverse group of professionals who are interested...
US99 Country Cares St. Jude Radiothon,ALSAC/St. Jude Children's Research Hospital,US99 Country Cares Radiothon We need your help for the US99 Country Cares for St. Jude Kids Radiothon. With the help and support of our...
Walk or Special Events Committee Member,JDRF Illinois Chapter,Help fundraise for our events. Coordinate a Walk site. Help plan our Gala program. Solicit items for future auctions. Please visit our...
Young Leadership Committee Member,JDRF Illinois Chapter,JDRF Illinois Young Leadership Committee (YLC) is a group of young business and civic professionals who are actively involved with JDRF...
