title,org,desc
Chicago area Massage Therapy Hospice Volunteer,Rainbow Hospice and Palliative Care,Massage Therapist Volunteers are assigned to support a hospice patient and their family in your community by providing gentle massage and...
Marketing and Hospital Outreach Internship,Imerman Angels 1-on-1 Cancer Support,"About Imerman Angels: Through our unique matching process, Imerman Angels partners anyone seeking cancer support with a ""Mentor..."
Volunteer Director,The Safe Haven Network,Purpose: The Volunteer Director is responsible for recruiting and managing volunteers. They will be responsible for allocating...
Community Outreach Director,The Safe Haven Network,Purpose: The Community Outreach Director is responsible for coordinating The Safe Haven Network’s community outreach and engagement...
SHN Supply Drive Coordinator,The Safe Haven Network,The Safe Haven Network is looking for an experienced community organizer and event coordinator to manage our annual supply drive for...
Mentor Teen Girls - South Side Chicago,In Her Shoes Foundation,Group Mentor for Teen Girl Program/ Youth Coordinator The purpose of IHSF (In Her Shoes Foundation) is to empower and inspire every woman...
Graphic Design and Web Manager,In Her Shoes Foundation,"Volunteer Position: Graphic Design and Web Manager Committee: Marketing Experience: 4+ years of related experience in the Advertising,..."
Outreach Internship,Imerman Angels 1-on-1 Cancer Support,"About Imerman Angels: Through our unique matching process, Imerman Angels partners anyone seeking cancer support with a ""Mentor..."
Become an Imerman Angels Volunteer!,Imerman Angels 1-on-1 Cancer Support,"Imerman Angels provides personalized, 1-on-1 cancer support for cancer fighters, survivors, and caregivers! We are always in need of new,..."
Chair Massage Therapist for caregivers,IMD Guest House,Our hospital supported Guest House would love to have a Massage Therapist visit one evening a month to give chair massages in our...
Development Director,The Safe Haven Network,Purpose: Development Director Volunteer is responsible for spearheading The Safe Haven Network’s fundraising efforts. They will...
Referral Program Director,The Safe Haven Network,Purpose: The Safe Haven Network is a referral service that connects individuals escaping domestic violence to temporary emergency shelter...
IMD Guest House Snack Maker,IMD Guest House,Our hospital supported Guest House needs Snack Makers to make some healthy or savory snacks. Pick a day to come bake (or not bake)...
Grab 'n Go Breakfast volunteers & sponsors needed,IMD Guest House,Grab & Go Breakfast volunteers and sponsors needed. We like to offer our guests a light continental breakfast in our Community Room...
Guest House Meal Maker,IMD Guest House,Individuals and groups needed to make or cater a warm meal and share conversation with our IMD Guest House guests in our Community Room....
"Support military members, veterans and their families: BE A CASEWORKER!",American Red Cross - Chicago and Northern...,As a Service to Armed Forces Hero Network Regional Family Follow up Caseworker you will support and assist with the full range of client...
Surviving Trauma discussion & art workshop,Chicago URBAN ART RETREAT Center,No experience needed. Facilitated discussion in gallery of art about surviving trauma followed by easy art experience re: surviving...
Crisis Line Volunteers For National Runaway & Homeless Youth Hotline (1-800-RUNAWAY),National Runaway Safeline,"Did you know every year 4.2 million youth experience homelessness? Just last year, 1 out of 30 youth ages 13-17 were affected. National..."
Crisis Line Volunteer,National Runaway Safeline,"Did you know every year 4.2 million youth experience homelessness? Just last year, 1 out of 30 youth ages 13-17 were affected. National..."
Become a Crisis Counselor and support people across the country!,Crisis Text Line,"Crisis Text Line provides free, nationwide, 24/7 support for people in crisis, all via text message. The service is powered by volunteer..."
"Women, don't just be sad about Child Abuse, do something about it right NOW!!!",Chicktime,Chicktime is a movement of women setting up networks all across America who are taking their place. Visit our website to find a network...
Disaster Services External & Government Relations Volunteer,American Red Cross - Chicago and Northern...,"Establish and maintain relationships with Police, Fire, Emergency Management, Human Services and Public Health partners. Sit on critical..."
Disaster Recovery Casework Volunteer,American Red Cross - Chicago and Northern...,"Support the disaster recovery of individuals, families, and communities through the activities of Casework and Recovery Planning,..."
Disaster Dispatch Volunteer,American Red Cross - Chicago and Northern...,Ensures timely activation and monitoring of local and regional DAT responses. This role supports our Disaster Action Team Members to...
LCPC,Above and Beyond family Recovery Center,"Above and Beyond is looking for LCPC Counselors, either retired or in-between employers, who would like to give of themselves to help the..."
Plumber,Above and Beyond family Recovery Center,Are you interested in pipes? Does water float your boat? We are looking for humans with heart ( and the stomach) who are interested in...
Prison Pen Pal,Above and Beyond family Recovery Center,"In the context of spending your time inside a gorgeously appointed, one-of-a-kind, behavioral, outpatient, harm-reduction addiction..."
Food Pantry Volunteer,Marillac Food Pantry,"Marillac Food Pantry is not only a well established resource for our community, but serves approximately 1,000 families each month. The..."
ChiPOP Student Engagement Specialist,POP ON TEEN VIOLENCE INC,Recruit and retain interested students through engagement efforts for our program by: 1. Develop a supportive and trusting relationship...
Albany Park area (Chicago) Home Hospice Patient Support/Companion Volunteer,Rainbow Hospice and Palliative Care,"Work near your home! As a Hospice Patient Support/Companion Volunteer, you will be assigned to support a hospice patient and their family..."
Remote Administrative Support & Special Projects Assistant,American Red Cross - Chicago and Northern...,This position is available remote volunteer opportunity with an array of various different tasks. Some tasks may include but are not...
Editor Internship,The Borgen Project,"The Borgen Project is an innovative, national campaign that is working to make poverty a focus of U.S. foreign policy. Editors edit..."
Jefferson Park area (Chicago) Home Hospice Patient Support/Companion Volunteer,Rainbow Hospice and Palliative Care,"Work near your home! As a Hospice Patient Support/Companion Volunteer, you will be assigned to support a hospice patient and their family..."
