title,org,desc
Volunteer Mentor,ACCESS LIVING OF METROPOLITAN CHICAGO,We currently have a wonderful opportunity for those looking to volunteer and make an impact in a young persons life. We are looking for...
Volunteers Needed to Help Us Prepare for our Annual Jewelry Sale!,Blind Service Association,We are in need of volunteers to help us prepare hundreds of pieces of donated jewelry for our Annual Jewelry Sale which takes place the...
Front Desk Receptionist,Blind Service Association,"Blind Service Association is looking for someone to help with our front desk. You'll be greeting clients and volunteers, answering the..."
Marketing & Community Outreach,Muscular Dystrophy Association (MDA),The Marketing and Community Outreach Volunteer will focus on re-engaging Lock-Up participants into one of MDA’s signature...
Reading and Recording for the Blind,Blind Service Association,Our volunteers read one on one to blind and visually impaired adults or they record requested reading materials that have not been...
Big Pack-Up Event at McCormick Place *Large/Small Volunteer Groups Needed*,"Sertoma Centre, Inc.","We're in need of 150 Volunteers for our annual Housewares Show Pack-Up at McCormick Place, on March 17th, 2020. Transportation provided..."
Volunteer Child Care Worker,Little City,Little City's Foster Care and Adoption are looking for volunteer child care workers to help out while there is a Foster Parent training....
Outing Chaperone,Midwest Brain Injury Clubhouse,Traverse the city experiencing all that it has to offer 1-2 days a week. Make lifelong friends while chaperoning MBIC Members along side...
OT and PT students wanted!,Midwest Brain Injury Clubhouse,The Midwest Brain Injury Clubhouse is an organization located in the West Loop of Chicago that helps adults with Traumatic and Acquired...
Program Volunteer,Midwest Brain Injury Clubhouse,Therapeutic superstars with an interest in working with an under served disabled population wanted. Applications are being accepted now...
Volunteer Creative Writing Group Leader,Blind Service Association,Do you have experience in creative writing? Blind Service Association is looking for a volunteer to lead our creative writing group for...
AM/PM Greeter,Midwest Brain Injury Clubhouse,We are looking for individuals to assist our clientele with brain injuries in & out of the building from their transportation to...
Make a difference in someone's life: Consider VOLUNTEERING and have FUN while you're at...,Midwest Brain Injury Clubhouse,Love the city? Would you like to have some fun and make a difference all at the same time? Please join Midwest Brain Injury Clubhouse...
Thrift Store Assistant- Nearly New Store at Marillac St. Vincent Family Services,Marillac St. Vincent Family Services,The recently re-opened Marillac St Vincent Nearly New Thrift Store is looking a couple of STORE ASSISTANTS. We want responsible people as...
12 Bars of Charity,Best Buddies Illinois,"We are in need of volunteers to check-in attendees during event registration on Saturday, December 14th from 1-4pm. Location is TBD. For..."
Project Onward Studio & Event Volunteers,Project Onward,"Project Onward supports the professional development of artists with exceptional talents and challenges, ranging from autism to mental..."
Board of Directors,A.B.L.E. - Artists Breaking Limits & Expectations,"Artists Breaking Limits & Expectations (A.B.L.E.), a Chicago-based non-profit organization is seeking committed, diverse, and..."
Special Olympics Illinois Young Professionals Development Board - Chicago,Special Olympics Illinois,Volunteers are welcomed to join the Young Professionals Board of Special Olympics Illinois. Volunteers meet approximately monthly for an...
Table at Taste of River North,Meals on Wheels Chicago,We will have a table at the Taste of River North at Kingbury and Erie and need your help! We want to bring awareness to River North of...
"Visit Elders with Dementia, Bring Joy and Friendship!",Little Brothers - Friends of the Elderly...,"Little Brothers - Friends of the Elderly's philosophy, programs and activities are focused on alleviating loneliness and isolation among..."
Project Onward Part-Time Counselor/Therapist/Psychologist,Project Onward,"Project Onward is a gallery and studio that supports the professional development of artists with exceptional talents and challenges,..."
Looking for volunteer Medical Staffing for Camp!,Camp One Step,"We are looking for medical volunteers for upcoming One Step Programs. We offer camps and programs for children whom are battling cancer,..."
Help Send a Kid With Cancer to Camp!,Camp One Step,We are looking for volunteers that are interested in helping our mission of making sure that kids with cancer can have amazing...
Hot Cider Hustle Chicago 8K,Best Buddies Illinois,In need of 40 volunteers from 7am-11am on November 9th. Please see additional information below. Job Descriptions: Registration assistant...
Weaving Archive Project Volunteer,Friedman Place,"Archive completed projects by scanning and saving documents. Ideal volunteers will have familiarity with Windows OS, and be comfortable..."
Marketing Internship,GLOBAL CANVAS INC,We Are Lions is a 501(c)3 nonprofit social enterprise dedicated to providing opportunities to individuals with disabilities through art...
Special Outings Assistant,Friedman Place,Responsibilities: Chaperone & socialize with residents Help with boarding and exiting the bus Escort residents to seats and restrooms...
Dietary Aid,Friedman Place,"Responsibilities: Help refill drinks, clean tables, and respond to resident dining needs Qualifications: Patience, good multi-tasking..."
Connect with older adults through music! Volunteers needed to support Music and Memory...,Chicago Methodist Senior Services,Chicago Methodist Senior Services is looking for volunteers to engage with older adults diagnosed with dementia through our certified...
Oak-Leyden Board and Committee Opportunities,Oak Leyden Developmental Services,"Oak-Leyden is looking for individuals interested in nonprofits who'd like to be on our board and various committees: Finance, Development..."
Special Events and General Fundraising Volunteer,Friedman Place,General: Getting information correct in the data base is one of the first and most important tenants in fundraising. We need help with...
Weaver's Assistant,Friedman Place,Responsibilities: Learn weaving vocabulary Aid residents walking to and from studio Assist resident in weaving which includes: measuring...
Volunteer Performer,Friedman Place,Responsibilities: Share your talents with the residents of Friedman Place Coordinate with the Activity Department for a performance time...
Sewing Volunteer,Friedman Place,Responsibilities: Assist in finishing work of the items produced by our residents in our weaving workshop Machine hemming Hand sewing...
Annual Event Planning Committee,Oak Leyden Developmental Services,"Opportunity to help plan an exciting fundraising event, Oak-Leyden Unmasked. Planning starts now for the February 21, 2020 event at..."
Adult Basic Education Tutor,Project CARE,Provide individual tutoring to students in the ABE program and prepare creative lesson plans. Assist students in improving academic...
E-cycling Program Volunteer,The Douglas Center,"The Douglas Center, a non-profit organization located in Skokie, IL, provides community day services for individuals, ages 18 to 80+,..."
Reading Assistance Volunteers,The Douglas Center,"If you are in school to become a teacher or just enjoy helping people improve their reading skills, this is for you! Many clients at The..."
Program Support Aide,The Douglas Center,"The Douglas Center, a non-profit organization located in Skokie, IL, provides community day services for individuals, ages 18 to 80+,..."
Art from the Heart Volunteer,The Douglas Center,"Can you color, paint, draw or enjoying helping those that do? You don't need to be an artist for this opportunity! We are seeking..."
Intern at the Institute for Therapy through the Arts!,Institute for Therapy through the Arts,Come intern at the Institute for Therapy through the Arts and gain valuable profession and clinical experience in the field of creative...
