title,org,desc
Chicago Court Ordered Community Service VIRTUAL or LOCAL Nonprofit 501c3 Nobel & Prize...,Ganga Library Inc.,"CALL 202-340-6210. Work VIRTUAL or LOCAL based on YOUR background, interests, hobbies. Any profession, occupation. Flexible schedule ...."
Volunteer Tax Preparer (no experience necessary!),Ladder Up,Ever wished there was something you could do to help working families get ahead financially? Do you believe that when neighbors help...
"Join the ""Expert Connection""-Girl Scout Speaker's Bureau!",Girl Scouts of Greater Chicago and Northwest...,One of the best ways for girls to learn about new ideas is to hear it straight from someone who really knows their stuff! Would you...
Business Mentor: Share your knowledge with a small business owner!,SCORE Chicago,A SCORE mentor is an adviser who helps individuals and small businesses reach their goals. Mentors provide free business advice and...
Workshop Presenter: Use your knowledge to help small business owners learn critical...,SCORE Chicago,SCORE workshop presenters share their business acumen with their local community by leading educational workshops and seminars. As a...
Chapter Support Volunteer: Use your skills to help a local nonprofit support...,SCORE Chicago,Every SCORE chapter depends on the talent and time of volunteers to help entrepreneurs achieve their dreams of small business ownership....
Judge Student Debaters. No Experience Needed!,Chicago Debates,"Academic Debate is life changing for the debaters, but you can benefit too! Why Judge Debate? Empower a young person Serve as a..."
Judge Student Debaters. No Experience Needed!,Chicago Debates,"Academic Debate is life changing for the debaters, but you can benefit too! Why Judge Debate? Empower a young person Serve as a..."
Begin a Shoes That Fit Volunteer Chapter in your Community- Help Chicago kids in need...,Shoes That Fit,"Many children in the Chicago area lack proper shoes for school. Their shoes are too small, too big, or so worn they have to stuff..."
Help us Defend Potential : Become a Big!,Big Brothers Big Sisters of Metropolitan Chicago,"Become a Big! Big Brothers Big Sisters is a one-to-one mentoring program for children 7-14. Each volunteer, or 'Big', is matched with a..."
Join the movement to create healthier schools - Join our Auxiliary Board!,Action For Healthy Kids,Action for Healthy Kids (AFHK) has started a new Auxiliary Board and is looking for a diverse group of professionals who are interested...
Start Early: Read with Kindergarten students in Chicago Public Schools!,Working In The Schools (WITS),WITS Kindergarten (WITSK) develops trusting and fun relationships between adults and students with the intention of developing the...
Build Community in Chicago Public Schools: Become a Classroom Reading Tutor!,Working In The Schools (WITS),The Classroom Reading Tutor (CRT) program builds relationships between a volunteer and a Rochelle Lee Teacher Awardee that influences the...
Help Share Chicago Travel Tips to International Travelers,Hostelling International Chicago,HI Chicago Hostel is looking for interested in providing helpful information and suggestions to travelers. The right candidates will...
Mentor a high school student **Male mentors needed**,iMentor Chicago,***NOTE : Our female mentor slots are filling fast! Completing orientation and the application process now is highly recommended. If you...
Mentor a First-Generation College Student,America Needs You,"Only 11% of low-income, first-generation college students are expected to earn bachelor’s degrees. You can help America Needs You..."
Family Support Coordinator (1700 hour AmeriCorps),Chicago HOPES for Kids,Chicago HOPES for Kids provides shelter-based academic support for children in Chicago's homeless and domestic violence shelters. We run...
Volunteer Coordinator (1700 hour AmeriCorps member),Chicago HOPES for Kids,Chicago HOPES for Kids provides shelter-based academic support for children in Chicago's homeless and domestic violence shelters. We run...
Program Coordinator (1700 hour AmeriCorps member),Chicago HOPES for Kids,Chicago HOPES for Kids provides shelter-based academic support for children in Chicago's homeless and domestic violence shelters. We run...
AmeriCorps - Adult Literacy Specialist,Literacy Volunteers of Illinois,"As Literacy Specialists, AmeriCorps members will provide increased economic and educational opportunities to two underserved populations..."
Auxiliary Board,The Big Shoulders Fund,Eight years ago we formed our Auxiliary Board to engage active and altruistic young professionals. The group has a growing membership of...
