title,org,desc
Chicago Court Ordered Community Service VIRTUAL or LOCAL Nonprofit 501c3 Nobel & Prize...,Ganga Library Inc.,"CALL 202-340-6210. Work VIRTUAL or LOCAL based on YOUR background, interests, hobbies. Any profession, occupation. Flexible schedule ...."
Chicago area Massage Therapy Hospice Volunteer,Rainbow Hospice and Palliative Care,Massage Therapist Volunteers are assigned to support a hospice patient and their family in your community by providing gentle massage and...
Marketing and Hospital Outreach Internship,Imerman Angels 1-on-1 Cancer Support,"About Imerman Angels: Through our unique matching process, Imerman Angels partners anyone seeking cancer support with a ""Mentor..."
Chicago area Bilingual Home Hospice Patient Support/Companion Volunteer,Rainbow Hospice and Palliative Care,"Work near your home! As a Bilingual Hospice Patient Support/Companion Volunteer, you will be assigned to support a hospice patient and..."
Join the movement to create healthier schools - Join our Auxiliary Board!,Action For Healthy Kids,Action for Healthy Kids (AFHK) has started a new Auxiliary Board and is looking for a diverse group of professionals who are interested...
Walk or Special Events Committee Member,JDRF Illinois Chapter,Help fundraise for our events. Coordinate a Walk site. Help plan our Gala program. Solicit items for future auctions. Please visit our...
Young Leadership Committee Member,JDRF Illinois Chapter,JDRF Illinois Young Leadership Committee (YLC) is a group of young business and civic professionals who are actively involved with JDRF...
"BEDSIDE MAGIC - DOWNTOWN CHICAGO: LURIE'S, UNIV. OF CHICAGO COMER, & RUSH - Bring joy...",Open Heart Magic,Open Heart Magic (OHM) is a nonprofit organization that brings the joy of magic to sick kids in hospitals. As a volunteer Hospital...
Help Give Cancer Patients a Much-Needed Ride!,American Cancer Society,One of the biggest road blocks to cancer treatment can be lack of transportation. That's why the American Cancer Society Road To Recovery...
Looking for an opportunity to address food justice issues in Chicago?,Top Box Foods,"Top Box Foods is a non-profit organization with a simple purpose: to offer fresh, healthy, high-quality foods at affordable prices..."
Office Receptionist- Chicago,JourneyCare,"Who is JourneyCare? The largest nonprofit provider of palliative, and supportive care in Illinois, JourneyCare serves nearly 3,000 adult..."
Strategic Management & Business Development Intern (Master's),AIDS Foundation of Chicago,The AIDS Foundation of Chicago (AFC) is seeking a responsible and motivated individual to intern in its Strategy & Business...
Strategic Management & Business Development Intern (Bachelor's),AIDS Foundation of Chicago,The AIDS Foundation of Chicago (AFC) is seeking a responsible and motivated individual to intern in its Strategy & Business...
Chicago National Office 2019 Volunteer Leadership Committee,Muscular Dystrophy Association,"The Muscular Dystrophy Association has an exciting new volunteer opportunity for anyone in Chicago looking to lead, share ideas, build..."
Marketing & Community Outreach,Muscular Dystrophy Association (MDA),The Marketing and Community Outreach Volunteer will focus on re-engaging Lock-Up participants into one of MDA’s signature...
Chicago Area Road to Recovery Volunteer Driver,AMERICAN CANCER SOCIETY,Be a hero and make a difference in the lives of others! Give a cancer patient a much-needed ride to treatment and you'll be the one to...
Cancer Support Program Volunteer,Imerman Angels 1-on-1 Cancer Support,The most important objective for our cancer support program is to ensure that everyone who contacts us and requests personalized cancer...
Part-time Sponsorship Outreach Volunteer,Imerman Angels 1-on-1 Cancer Support,Want to get involved with Imerman Angels? Our Mission: To provide personalized peer connections that enable one-on-one support among...
Outreach Internship,Imerman Angels 1-on-1 Cancer Support,"About Imerman Angels: Through our unique matching process, Imerman Angels partners anyone seeking cancer support with a ""Mentor..."
BEDSIDE MAGIC - HYDE PARK: U OF CHICAGO COMER CHILDREN'S HOSPITAL - Bring joy and magic...,Open Heart Magic,Open Heart Magic (OHM) is a nonprofit organization that brings the joy of magic to sick kids in hospitals. As a volunteer Hospital...
Become an Imerman Angels Volunteer!,Imerman Angels 1-on-1 Cancer Support,"Imerman Angels provides personalized, 1-on-1 cancer support for cancer fighters, survivors, and caregivers! We are always in need of new,..."
IMD Guest House Snack Maker,IMD Guest House,Our hospital supported Guest House needs Snack Makers to make some healthy or savory snacks. Pick a day to come bake (or not bake)...
Guest House Meal Maker,IMD Guest House,Individuals and groups needed to make or cater a warm meal and share conversation with our IMD Guest House guests in our Community Room....
Chair Massage Therapist for caregivers,IMD Guest House,Our hospital supported Guest House would love to have a Massage Therapist visit one evening a month to give chair massages in our...
Outing Chaperone,Midwest Brain Injury Clubhouse,Traverse the city experiencing all that it has to offer 1-2 days a week. Make lifelong friends while chaperoning MBIC Members along side...
AM/PM Greeter,Midwest Brain Injury Clubhouse,We are looking for individuals to assist our clientele with brain injuries in & out of the building from their transportation to...
In a Musical Group or Congregation Ensemble?,The Boulevard: The Road to Health and Home,What You Can Do: The Boulevard--Illinois’ only provider of medical respite housing for ill and injured homeless adults--is always...
Join Our Associate Board,The Boulevard: The Road to Health and Home,"Join the Associate Board of The Boulevard! The Associate Board helps the organization in two main ways:(1) hosting fun, energetic social..."
Fashion Assistant for Charity Fashion Show,Compass to Care Childhood Cancer Foundation,"We are seeking volunteers to assist behind the scenes with our fashion show. You will help our models get dressed, find their clothing,..."
Event Volunteers and Photographers Needed for November 9 Gala,Compass to Care Childhood Cancer Foundation,Compass to Care's biggest event of the year is coming up quickly and we need volunteers to help make it a huge success. We need you!!...
