title,org,desc
"Let me crash on your couch... please? - Chicago, IL",ARFS GERMAN SHEPHERD INC,Loaning an animal your couch can save their life! - Every 16 seconds an animal is euthanized simply due to overpopulation.Shelters do not...
Service Day Afternoon Volunteer- Downtown,CHICAGO BRIDGE PROJECT,"On the SECOND Saturday of the month we gather in Logan Square and prepare food, clothing and other comfort items to share with our..."
Strategic Management & Business Development Intern (Master's),AIDS Foundation of Chicago,The AIDS Foundation of Chicago (AFC) is seeking a responsible and motivated individual to intern in its Strategy & Business...
Strategic Management & Business Development Intern (Bachelor's),AIDS Foundation of Chicago,The AIDS Foundation of Chicago (AFC) is seeking a responsible and motivated individual to intern in its Strategy & Business...
Passionate Associate Board Members Wanted!,Street Samaritans,"Hello, We're looking for energetic, passionate and motivated individuals in the Chicagoland area to join our Associate Board. We believe..."
Family Support Coordinator (1700 hour AmeriCorps),Chicago HOPES for Kids,Chicago HOPES for Kids provides shelter-based academic support for children in Chicago's homeless and domestic violence shelters. We run...
Volunteer Coordinator (1700 hour AmeriCorps member),Chicago HOPES for Kids,Chicago HOPES for Kids provides shelter-based academic support for children in Chicago's homeless and domestic violence shelters. We run...
Program Coordinator (1700 hour AmeriCorps member),Chicago HOPES for Kids,Chicago HOPES for Kids provides shelter-based academic support for children in Chicago's homeless and domestic violence shelters. We run...
"Let me crash on your couch...please? - Chicago, IL",LAURAS HOPE RESCUE,Loaning an animal your couch can save their life! - Every 16 seconds an animal is euthanized simply due to overpopulation. Shelters do...
Crisis Line Volunteer,National Runaway Safeline,"Did you know every year 4.2 million youth experience homelessness? Just last year, 1 out of 30 youth ages 13-17 were affected. National..."
Outreach Coordinator (1700 hour AmeriCorps State),Chicago HOPES for Kids,Chicago HOPES for Kids provides shelter-based academic support for children in Chicago's homeless and domestic violence shelters. We run...
Care for Friends Fundraiser Power Hope,Care For Friends,"Care for friends annual fall fundraiser, Power Hope, is coming up on Thursday, November 14th from 5-11pm, and it is going to be a blast!..."
Candlelight Vigil and Sleep Out: Chicago 2019,Covenant House Illinois,Spend one evening getting to know some of the youth whose lives will be better because of your work - and spend the rest of the night...
"Cook a meal for the homeless, Streeterville/Gold Coast, flexible shift times.",Chicago Fun Volunteers,"No need to wait for a reply, you can just show up and start helping. Join Fight2Feed as we help cook and feed 150+ meals for the homeless..."
Fresh Market Volunteer,La Casa Norte,"Nutrition Center Fresh Market Volunteer ""La Casa Norte’s mission is to serve youth and families confronting homelessness. We..."
