title,org,desc
Chicago area Massage Therapy Hospice Volunteer,Rainbow Hospice and Palliative Care,Massage Therapist Volunteers are assigned to support a hospice patient and their family in your community by providing gentle massage and...
Chicago area Bilingual Home Hospice Patient Support/Companion Volunteer,Rainbow Hospice and Palliative Care,"Work near your home! As a Bilingual Hospice Patient Support/Companion Volunteer, you will be assigned to support a hospice patient and..."
Front Desk Receptionist,Blind Service Association,"Blind Service Association is looking for someone to help with our front desk. You'll be greeting clients and volunteers, answering the..."
Help Give Cancer Patients a Much-Needed Ride!,American Cancer Society,One of the biggest road blocks to cancer treatment can be lack of transportation. That's why the American Cancer Society Road To Recovery...
Office Receptionist- Chicago,JourneyCare,"Who is JourneyCare? The largest nonprofit provider of palliative, and supportive care in Illinois, JourneyCare serves nearly 3,000 adult..."
Reading and Recording for the Blind,Blind Service Association,Our volunteers read one on one to blind and visually impaired adults or they record requested reading materials that have not been...
The Holidays are here! Share the season with a lonely elderly person!,Little Brothers - Friends of the Elderly...,"Little Brothers - Friends of the Elderly's philosophy, programs and activities are focused on alleviating loneliness among elders. The..."
Home Bound Seniors- Volunteer Delivery Assistant/Driver,Marillac St. Vincent Family Services,DELIVER GROCERIES TO HOME BOUND SENIORS Make a real difference in a life! This an ongoing opportunity to deliver groceries to home bound...
Thrift Store Assistant- Nearly New Store at Marillac St. Vincent Family Services,Marillac St. Vincent Family Services,The recently re-opened Marillac St Vincent Nearly New Thrift Store is looking a couple of STORE ASSISTANTS. We want responsible people as...
Pantry Volunteers! Help us reach over a Thousand Households a Month!,Marillac St. Vincent Family Services,"Our pantry serves well over 200 households and over 10,000 pounds of food per week while providing our clients the opportunity to choose..."
Love cooking? We need volunteer cooks at our events for seniors!,Little Brothers - Friends of the Elderly...,"Little Brothers - Friends of the Elderly's philosophy, programs and activities are focused on alleviating loneliness among seniors. The..."
Weatherization,H.O.M.E.,Help low income seniors keep warmer and save on heating costs by installing weatherization plastic over the windows in their homes. This...
Hospice CareCenter Volunteer - Chicago,JourneyCare,Volunteer in your community and set your own schedule! JourneyCare is looking for volunteers to serve at our Hospice CareCenter in...
Team Care Coordinator Assist- Chicago,JourneyCare,"Who is JourneyCare? The largest nonprofit provider of palliative, and supportive care in Illinois, JourneyCare serves nearly 4,000 adult..."
Furniture Repair Person,Above and Beyond family Recovery Center,"Addiction does not have to be ugly, even when the populations we serve are homeless, poverty-stricken, and incarceration experienced. In..."
ESL Tutor,Casa Central,"Casa Central's Adult Wellness Center (AWC) offers daily center-based care to Latino and other older adults, 60 years of age and older,..."
Senior Citizen Mentors,Project Education Plus,"We are currently looking for volunteers to present arts, dance, exercise, and/or other opportunities to our seniors. We can also use..."
Table at Taste of River North,Meals on Wheels Chicago,We will have a table at the Taste of River North at Kingbury and Erie and need your help! We want to bring awareness to River North of...
"Visit Elders with Dementia, Bring Joy and Friendship!",Little Brothers - Friends of the Elderly...,"Little Brothers - Friends of the Elderly's philosophy, programs and activities are focused on alleviating loneliness and isolation among..."
Veteran-to-Veteran Volunteer Opportunity,"Unity Hospice of Chicagoland, Northwest...",We invite you to make a difference in the life of a fellow military veteran. You were there for each other when you served so very far...
Patient Care and Administrative Volunteer Opportunity,"Unity Hospice of Chicagoland, Northwest...","""People are like stained-glass windows. They sparkle and shine when the sun is out, but when the darkness sets in, their true beauty..."
"Help Seniors in Your Community, River Forest!",Residential Hospice,Do you want to make real change for seniors in your community? We are looking for someone to provide support to hospice patients in the...
Albany Park area (Chicago) Home Hospice Patient Support/Companion Volunteer,Rainbow Hospice and Palliative Care,"Work near your home! As a Hospice Patient Support/Companion Volunteer, you will be assigned to support a hospice patient and their family..."
Be The Change for Seniors in Oak Park,Residential Hospice,"We are looking for someone to provide support to hospice patients in the Oak Park area. Your presence alone can make someone feel loved,..."
Literacy Tutor (ESL and Citizenship),Vietnamese Association of Illinois,VAI operates an Adult Volunteer Literacy (AVL) program to help community members who want to improve their English and to prepare for...
Jefferson Park area (Chicago) Home Hospice Patient Support/Companion Volunteer,Rainbow Hospice and Palliative Care,"Work near your home! As a Hospice Patient Support/Companion Volunteer, you will be assigned to support a hospice patient and their family..."
Veteran Volunteer and Friend for Hospice,Kindred Hospice,Kindred Hospice is seeking Military Veteran volunteers to provide companionship and socialization to Veteran patients with life-limiting...
Guest Chef at NSH,H.O.M.E.,We are looking for volunteers who want to come on weekends and prepare lunch or dinner for 13 of our residents at Nathalie Salmon House...
Guest Chef at PCH,H.O.M.E.,We are looking for volunteers who want to come on weekends and make dinner for our residents at Pat Crowley House. You can come on your...
Share Your Canine Companion and Enhance the Lives of Seniors!,Chicago Methodist Senior Services,Chicago Methodist Senior Services Position Title: Therapeutic Pet Visitor POSITION SUMMARY: The primary purpose of your position is to...
Take a Senior to Mass or Special Events at St. Gregory's Catholic Church! NO CAR...,Chicago Methodist Senior Services,Position Title: Escort to St. Gregory’s Catholic Church Program/Department: The Hartwell Reports To: Administrator of Dementia...
Out of the House Program Assistant,JASC,Are you looking for a volunteer opportunity in your community? JASC is seeking volunteers to provide companionship and help with general...
OPERATION SEARCHLIGHT -- VETERANS ARE HURTING AND TIME IS RUNNING SHORT,COALITION OF VETERANS ORGANIZATIONS,VERY FEW OF OUR HEROIC VETERANS (and think about their families) are aware of organizations and people who are ready and eager to assist...
